"gene_id"	"cons100way"	"rank"	"Gene"	"BF_hct116"	"BF_hela"	"BF_gbm"	"BF_rpe1"	"BF_dld1"	"BF_a375_GeCKo"	"BF_hct116_shRNA"	"numTKOHits"	"gene_type"
"10224"	1	17037	"ZNF443"	-12.226	-2.826	-3.768	4.621	-3.279	NA	-18.466	0	"nonfitness"
"10288"	1	17037	"LILRB2"	-44.451	-20.188	-6.645	-11.073	-4.24	-12.639	-17.685	0	"nonfitness"
"10361"	1	17037	"NPM2"	-106.456	-48.005	-31.897	-48.709	-17.779	-12.411	-30.713	0	"nonfitness"
"10780"	1	17037	"ZNF234"	-34.676	-18.685	-19.005	-45.137	-9.939	3.77	-26.469	0	"nonfitness"
"11156"	1	17037	"PTP4A3"	-98.043	-21.532	4.454	-27.589	-14.001	-0.433	-24.922	1	"fitness"
"158293"	1	17037	"FAM120AOS"	-5.072	-2.218	-10.686	15.743	-3.871	-0.31	NA	1	"fitness"
"221785"	1	17037	"ZSCAN25"	-74.067	-17.173	15.265	-24.835	-15.6	NA	-22.294	1	"fitness"
"221806"	1	17037	"VWDE"	-134.731	-67.835	-13.398	-26.481	-14.737	NA	NA	0	"nonfitness"
"342865"	1	17037	"VSTM2B"	-100.796	-59.991	-21.365	-25.477	-13.108	-7.55	NA	0	"nonfitness"
"3726"	1	17037	"JUNB"	28.817	13.799	3.544	-2.153	18.115	NA	-31.777	3	"core"
"374897"	1	17037	"SBSN"	-72.54	-64.186	-31.216	-32.144	-21.167	-20.097	NA	0	"nonfitness"
"388567"	1	17037	"ZNF749"	-87.769	-46.137	-20.917	-14.923	-11.751	-16.157	-26.419	0	"nonfitness"
"399726"	1	17037	"C10orf114"	-20.223	6.238	-19.161	-31.618	0.172	-10.928	NA	0	"nonfitness"
"399814"	1	17037	"C10orf120"	-49.135	-34.575	-12.731	-23.561	-10.924	-6.68	-9.476	0	"nonfitness"
"414236"	1	17037	"C10orf55"	-56.272	-39.212	-3.216	22.831	-8.3	-4.906	NA	1	"fitness"
"4153"	1	17037	"MBL2"	-82.871	-42.522	-25.95	-43.962	-15.15	-14.907	1.413	0	"nonfitness"
"4153"	1	17037	"MBP"	-153.653	-76.181	-23.424	-54.721	-21.609	-10.728	-2.053	0	"nonfitness"
"4255"	1	17037	"MGMT"	-123.341	-97.128	-24.893	-25.494	-7.847	-7.935	-29.155	0	"nonfitness"
"4288"	1	17037	"MKI67"	-2.973	-83.302	20.413	-45.913	-3.354	-7.439	-25.564	1	"fitness"
"474354"	1	17037	"LRRC18"	-92.569	-53.592	-33.679	-55.512	-20.713	-8.835	NA	0	"nonfitness"
"4838"	1	17037	"NODAL"	-128.049	-65.167	-37.682	-26.485	-18.042	-7.082	-25.585	0	"nonfitness"
"4861"	1	17037	"NPAS1"	-24.474	-59.625	-17.055	-15.916	-10.765	-8.251	-10.817	0	"nonfitness"
"50624"	1	17037	"CUZD1"	-106.093	-68.505	-29.96	-25.974	-21.339	-7	-39.217	0	"nonfitness"
"5076"	1	17037	"PAX2"	-71.965	-73.311	-29.396	-36.264	-8.669	-7.315	-28.936	0	"nonfitness"
"509"	1	17037	"ATP5C1"	132.98	51.1	13.707	-3.392	12.803	-5.116	2.957	4	"core"
"5092"	1	17037	"PCBD1"	-60.489	-45.181	-13.653	-34.605	-18.56	-4.954	-11.069	0	"nonfitness"
"51293"	1	17037	"CD320"	-57.87	-48.751	-33.266	-28.839	-19.949	-16.085	-6.62	0	"nonfitness"
"5137"	1	17037	"PDE1C"	-78.87	-64.2	-22.713	-12.168	-13.405	-5.813	-27.57	0	"nonfitness"
"51552"	1	17037	"RAB14"	16.455	-9.701	NA	NA	NA	-6.39	-22.493	1	"fitness"
"51754"	1	17037	"TMEM8B"	-130.357	-37.533	-25.406	-35.792	-7.431	-0.4	-10.67	0	"nonfitness"
"51759"	1	17037	"C9orf78"	56.867	27.99	14.459	-2.056	-1.063	-4.968	NA	3	"core"
"51806"	1	17037	"CALML5"	-94.586	-6.797	-25.747	-44.319	-13.812	-4.363	-7.129	0	"nonfitness"
"5214"	1	17037	"PFKP"	-141.243	-68.502	-24.664	-33.611	-18.743	-6.136	-35.038	0	"nonfitness"
"5264"	1	17037	"PHYH"	-128.033	-69.132	-33.984	-32.619	-20.408	-18.322	-9.468	0	"nonfitness"
"53904"	1	17037	"MYO3A"	-122.495	-96.353	-25.07	-48.365	-18.329	5.333	-16.01	0	"nonfitness"
"54107"	1	17037	"POLE3"	19.366	3.372	14.354	42.045	1.965	3.62	-31.819	3	"core"
"54187"	1	17037	"NANS"	-84.589	-41.909	-21.483	-34.422	-14.787	-4.911	-2.369	0	"nonfitness"
"54534"	1	17037	"MRPL50"	-19.482	-29.238	-16.534	-24.267	-5.784	2.555	NA	0	"nonfitness"
"5464"	1	17037	"PPA1"	1.697	-2.617	-5.873	1.072	2.82	12.739	-11.621	1	"fitness"
"54780"	1	17037	"NSMCE4A"	102.759	78.323	51.823	63.015	42.136	3.27	-28.197	5	"core"
"55165"	1	17037	"CEP55"	64.408	-2.84	0.722	-25.562	-4.267	15.523	-10.48	1	"fitness"
"55280"	1	17037	"CWF19L1"	44.324	14.323	-20.419	-9.499	-10.663	-7.976	-12.062	1	"fitness"
"55361"	1	17037	"PI4K2A"	-117.453	-38.338	-32.817	-41.694	-17.872	-1.795	-28.152	0	"nonfitness"
"55526"	1	17037	"DHTKD1"	-70.884	-80.957	-22.093	-37.392	-10.345	-20.707	-27.114	0	"nonfitness"
"55691"	1	17037	"FRMD4A"	-81.712	-65.235	-15.393	10.393	-18.57	-18.804	-4.411	1	"fitness"
